Year,Month,UK Price Diesel ($/Gallon),UK Price Diesel (£/Litre),UK Price Petrol ($/Gallon),UK Price Petrol (£/Litre),US Price Petrol ($/Gallon),US Price Petrol (£/Litre),US Price Diesel ($/Gallon),US Price Diesel (£/Litre)
2003,6,3.8050042285125008,0.744575,3.9169198751625003,0.766475,1.4575,0.2852081094596436,1.591,0.3113318025044892
2003,7,3.815608108275,0.7466499999999999,3.9174309055125005,0.766575,1.48025,0.2896598998474357,1.581,0.30937497156480037
2003,8,3.8636449611750003,0.75605,3.9478372113375,0.772525,1.58825,0.31079367399607477,1.619,0.31681092913561787
2003,9,3.89190493953,0.76158,3.9652888977900007,0.7759400000000001,1.6161999999999999,0.316263016472505,1.608,0.31465841510196013
2003,10,3.888685448325001,0.76095,3.9622738187250004,0.77535,1.513,0.2960685211749165,1.587,0.31054907012861366
2003,11,3.8824253265375,0.759725,3.9627848490750006,0.77545,1.47375,0.28838795973663794,1.594,0.31191885178639583
2003,12,3.88168433253,0.7595799999999999,3.9668219888400005,0.7762399999999999,1.4482,0.28338825668573303,1.593,0.31172316869242694
2004,1,3.8912406000750006,0.76145,3.9760716381750005,0.77805,1.55475,0.3042382903481173,1.655,0.32385552051849753
2004,2,3.90682702575,0.7645,3.9865477603500006,0.7801,1.6145,0.31593035521275786,1.705,0.33363967521694154
2004,3,3.9397373802900004,0.7709400000000001,4.01516545995,0.7857000000000001,1.6885999999999999,0.3304304724758519,1.75,0.3424454144455412
2004,4,3.9883363665750005,0.78045,4.0586030397,0.7942,1.756,0.3436195130093545,1.823,0.3567302803052695
2004,5,4.14496716885,0.8110999999999999,4.213343029680001,0.82448,1.9448,0.38056448115067915,1.896,0.3710151461649978
2004,6,4.157615170012501,0.8135749999999999,4.208079417075001,0.82345,1.91025,0.37380363025405433,1.864,0.36475328715799366
2004,7,4.1127722568000005,0.8048000000000001,4.151355048225001,0.81235,1.8632499999999999,0.36460652483751693,1.854,0.3627964562183048
2004,8,4.1529392423100004,0.8126599999999999,4.21058346579,0.82394,1.8416000000000001,0.3603699858530907,1.932,0.3780597375478775
2004,9,4.159659291412501,0.813975,4.2456401478000005,0.8308,1.8405,0.3601547344497249,1.99,0.38940935699807255
2004,10,4.247300996437501,0.8311249999999999,4.346568641925001,0.85055,1.9537499999999999,0.38231584484170067,2.207,0.43187258838931963
2004,11,4.277324029500001,0.8370000000000001,4.40416176237,0.86182,1.9318000000000002,0.37802060092908374,2.245,0.4393085459601372
2004,12,4.208973720187501,0.823625,4.378124766037501,0.8567250000000001,1.7995,0.35213172759700084,2.129,0.416609307059747
2005,1,4.071992034870001,0.7968200000000001,4.313402772210001,0.84406,1.8106000000000002,0.3543038099400554,2.058,0.4027158073879564
2005,2,4.0942474066125,0.801175,4.313096154,0.844,1.88625,0.36910723599880124,2.116,0.41406542683815156
2005,3,4.201947052875001,0.82225,4.4266726492875,0.866225,2.0625,0.40359638131081643,2.308,0.4516365808801766
2005,4,4.352189975775,0.85165,4.5678447834750004,0.89385,2.2105,0.43255747921821075,2.426,0.47472718596850455
